nama,max_tamu,kasur,harga,rating,lokasi,tersedia
Apartemen Casablanca,2,"[{'type': 'King (180x200)', 'qty': '1'}]",10000000,0.0,"{'latitude': -6.223056, 'langtitude': 106.845278}",20220224
Apartemen Casablanca,4,"[{'type': 'King (180x200)', 'qty': '1'}, {'type': 'Queen (160x200)', 'qty': '1'}]",15000000,0.0,"{'latitude': -6.223056, 'langtitude': 106.845278}",20220219
Apartemen Palm Court,2,"[{'type': 'King (180x200)', 'qty': '1'}]",11219000,0.0,"{'latitude': -6.238362, 'langtitude': 106.825882}",20220219
Apartemen Denpasar Residence Kuningan,4,"[{'type': 'Queen (160x200)', 'qty': '2'}]",11572596,0.0,"{'latitude': -6.224686, 'langtitude': 106.829601}",20220219
Apartemen Palm Court,2,"[{'type': 'Queen (160x200)', 'qty': '1'}]",11219000,0.0,"{'latitude': -6.238362, 'langtitude': 106.825882}",20220219
Apartemen The Mayflower,3,"[{'type': 'Queen (160x200)', 'qty': '1'}, {'type': 'Super Single (120x200)', 'qty': '1'}]",22249999,0.0,"{'latitude': -6.208374, 'langtitude': 106.822596}",20220219
Apartemen Palm Court,4,"[{'type': 'King (180x200)', 'qty': '1'}, {'type': 'Single (100x200)', 'qty': '2'}]",21050000,5.0,"{'latitude': -6.238362, 'langtitude': 106.825882}",20220219
Apartemen Palm Court,2,"[{'type': 'King (180x200)', 'qty': '1'}]",11219000,5.0,"{'latitude': -6.238362, 'langtitude': 106.825882}",20220219
Apartemen Ambassador Kuningan,4,"[{'type': 'Queen (160x200)', 'qty': '1'}, {'type': 'Single (100x200)', 'qty': '2'}]",16719998,5.0,"{'latitude': -6.223948366371162, 'langtitude': 106.82698883841132}",20220219
Apartemen Ambassador 2,3,"[{'type': 'Queen (160x200)', 'qty': '1'}, {'type': 'Super Single (120x200)', 'qty': '1'}]",7000000,4.9,"{'latitude': -6.22316, 'langtitude': 106.826083}",20220219
Apartemen Ambassador 2,3,"[{'type': 'Queen (160x200)', 'qty': '1'}, {'type': 'Single (100x200)', 'qty': '1'}]",9499999,0.0,"{'latitude': -6.22316, 'langtitude': 106.826083}",20220228
Apartemen Ambassador 2,3,"[{'type': 'Queen (160x200)', 'qty': '1'}, {'type': 'Single (100x200)', 'qty': '1'}]",11000000,5.0,"{'latitude': -6.22316, 'langtitude': 106.826083}",20220219
Apartemen Ambassador 2,4,"[{'type': 'King (180x200)', 'qty': '1'}, {'type': 'Single (100x200)', 'qty': '2'}]",15920520,5.0,"{'latitude': -6.22316, 'langtitude': 106.826083}",20220219
Apartemen Ambassade Kuningan,2,"[{'type': 'Queen (160x200)', 'qty': '1'}]",6282545,5.0,"{'latitude': -6.222428, 'langtitude': 106.831122}",20220228
Apartemen Ambassade Kuningan,2,"[{'type': 'Queen (160x200)', 'qty': '1'}]",8844480,4.5,"{'latitude': -6.222428, 'langtitude': 106.831122}",20220227
